,from_id,from_name,message,created_time,type,link,id,likes_count,comments_count,shares_count
1,108650015336    ,Pat Quinn,"The Illinois Department of Veterans’ Affairs, the USS Illinois Commissioning Committee and I invite all Illinois high school students to submit designs for the USS Illinois Ship’s Crest Design Award. The crest will represent the great state of Illinois and the distinguished crew serving aboard this state-of-the-art submarine. Submissions are due December 1, 2014. You can find more information & the submission form by visiting http://tinyurl.com/olrlksd.",6/10/2014,photo,https://www.facebook.com/GovernorQuinn/photos/a.153944980336.132878.108650015336/10152835327440337/?type=1&relevant_count=1,108650015336_10152835329605337,119,28,19
2,108650015336    ,Pat Quinn,"This Latino Heritage Month, we honored one of Naperville’s own, Olgha Sierra Sandman, who organized workers alongside Cesar Chavez in the 1970s. Olgha is one of the many Latinos who helped build the Prairie State into the breadbasket and economic engine that it is today. You can learn more about Olgha and the Latinos that helped build our great state at latinoheritage.illinois.gov.",3/10/2014,photo,https://www.facebook.com/GovernorQuinn/photos/a.153944980336.132878.108650015336/10152826619650337/?type=1&relevant_count=1,108650015336_10152826621335337,161,47,33
3,108650015336    ,Pat Quinn,Everybody in at Archer Park. Investing in Chicago's park districts will help ensure great programs like Fall Ball have a place to play. http://tinyurl.com/p3d4xcy,3/10/2014,photo,https://www.facebook.com/GovernorQuinn/photos/a.153944980336.132878.108650015336/10152826595185337/?type=1&relevant_count=1,108650015336_10152826596665337,179,27,1
4,108650015336    ,Pat Quinn,"Enjoyed listening to President Obama’s address on our nation’s economic comeback at my alma mater, Northwestern University. Always great to have you back in Illinois, Mr. President.",2/10/2014,photo,https://www.facebook.com/GovernorQuinn/photos/a.153944980336.132878.108650015336/10152823883345337/?type=1&relevant_count=1,108650015336_10152823885590337,456,94,41
5,108650015336    ,Pat Quinn,"Since enrollment for the Affordable Care Act began one year ago, more than 685,000 people have signed up for health coverage through Get Covered Illinois. We have come a long way but we are not going to stop until everyone in Illinois has the quality care they deserve. Check out how some residents got covered and learn more at www.GetCoveredIllinois.com  ",30/09/2014,video,http://youtu.be/ru7FkMZVJSI?list=UUZ7k211Acep1T60_poCuECg,108650015336_10152819013715337,138,72,13
6,108650015336    ,Pat Quinn,This weekend we said goodbye to a White Sox Legend. #ThanksPK for the milestones and memories.,29/09/2014,photo,https://www.facebook.com/GovernorQuinn/photos/a.153944980336.132878.108650015336/10152817265365337/?type=1&relevant_count=1,108650015336_10152817267270337,252,15,11
7,108650015336    ,Pat Quinn,"The doors are open at Chicago’s new Olive Garden. The restaurant chain is joining the list of employers expanding in Illinois, opening a new location that will employ 170 hardworking residents. http://tinyurl.com/kf7gnsd",29/09/2014,photo,https://www.facebook.com/GovernorQuinn/photos/a.153944980336.132878.108650015336/10152817256770337/?type=1&relevant_count=1,108650015336_10152817258035337,188,47,26
8,108650015336    ,Pat Quinn,Happy to announce Uber is expanding their headquarters in Illinois and adding 420 jobs.  Innovative tech companies like Uber are key to driving our economy forward. http://tinyurl.com/nk5hw4l,29/09/2014,photo,https://www.facebook.com/GovernorQuinn/photos/a.153944980336.132878.108650015336/10152817239935337/?type=1&relevant_count=1,108650015336_10152817241395337,299,56,26
9,108650015336    ,Pat Quinn,"Congratulations to Gene and Jude’s for being named Enjoy Illinois' first official Delicious Destination! This new award recognizes unique spots that are staples to the communities they serve.  To nominate your favorite Illinois restaurant for a Delicious Destination Award, visit bit.ly/1vcURTj.",25/09/2014,photo,https://www.facebook.com/GovernorQuinn/photos/a.153944980336.132878.108650015336/10152808830820337/?type=1&relevant_count=1,108650015336_10152808833490337,370,65,59
10,108650015336    ,Pat Quinn,Illinois is proud to support The Salvation Army’s efforts to end veteran homelessness and ensure our heroes get a helping hand when they need it most.  An investment in Springfield’s Salvation Army will help them expand their services and double their capacity to help those who are struggling. tinyurl.com/lk9fkmf,24/09/2014,photo,https://www.facebook.com/GovernorQuinn/photos/a.153944980336.132878.108650015336/10152806976565337/?type=1&relevant_count=1,108650015336_10152806978270337,228,39,26
